token_id,token_address,decimals
aave-busd-v1,0x6ee0f7bb50a54ab5253da0667b0dc2ee526c30a8,18
aave-crv,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,18
aave-usdc-v1,0x9ba00d6856a4edf4665bca2c2309936572473b7e,6
aave-dai,0x028171bca77440897b824ca71d1c56cac55b68a3,18
aave-dai-v1,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,18
aave-link,0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0,18
aave-enj,0xac6df26a590f08dcc95d5a4705ae8abbc88509ef,18
aave-eth-v1,0x3a3a65aab0dd2a17e3f1947ba16138cd37d08c04,18
aave-gusd,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,2
aave-interest-bearing-steth,0x1982b2f5814301d4e9a8b0201555376e62f82428,18
aave-knc,0x39c6b3e42d6a679d7d776778fe880bc9487c2eda,18
aave-knc-v1,0x9d91be44c06d373a8a226e1f3b146956083803eb,18
aave-link-v1,0xa64bd6c70cb9051f6a9ba1f163fdc07e0dfb5f84,18
aave-mana,0xa685a61171bb30d4072b338c80cb7b2c865c873e,18
aave-mana-v1,0x6fce4a401b6b80ace52baaefe4421bd188e76f6f,18
aave-mkr,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,18
aave-mkr-v1,0x7deb5e830be29f91e298ba5ff1356bb7f8146998,18
aave-enj-v1,0x712db54daa836b53ef1ecbb9c6ba3b9efb073f40,18
aave-rai,0xc9bc48c72154ef3e5425641a3c747242112a46af,18
aave-ren,0xcc12abe4ff81c9378d670de1b57f8e0dd228d77a,18
aave-ren-v1,0x69948cc03f478b95283f7dbf1ce764d0fc7ec54c,18
aave-snx,0x35f6b052c598d933d69a4eec4d04c73a191fe6c2,18
aave-busd,0xa361718326c15715591c299427c62086f69923d9,18
aave-stkgho,0x1a88df1cfe15af22b3c4c783d4e6f7f9e0c1885d,18
aave-susd,0x6c5024cd4f8a59110119c56f8933403a539555eb,18
aave-susd-v1,0x625ae63000f46200499120b906716420bd059240,18
aave-tusd,0x101cc05f4a51c0319f570d5e146a8c625198e636,18
aave-tusd-v1,0x4da9b813057d04baef4e5800e36083717b4a0341,18
aave-uni,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,18
aave-usdt-v1,0x71fc860f7d3a592a4a98740e39db31d25db65ae8,6
aave-v3-1inch,0x71aef7b30728b9bb371578f36c5a1f1502a5723e,18
aave-v3-aave,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,18
aave-v3-bal,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,18
aave-v3-cbeth,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,18
aave-v3-crv,0x7b95ec873268a6bfc6427e7a28e396db9d0ebc65,18
aave-v3-dai,0x018008bfb33d285247a21d44e50697654f754e63,18
aave-v3-link,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a,18
aave-v3-ens,0x545bd6c032efdde65a377a6719def2796c8e0f2e,18
aave-v3-frax,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,18
aave-v3-knc,0x5b502e3796385e1e9755d7043b9c945c3accec9c,18
aave-v3-ldo,0x9a44fd41566876a39655f74971a3a6ea0a17a454,18
aave-wbtc-v1,0xfc4b8ed459e00e5400be803a9bb3954234fd50e3,8
aave-v3-lusd,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,18
aave-v3-mkr,0x8a458a9dc9048e005d22849f470891b840296619,18
aave-v3-reth,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,18
aave-usdt,0x3ed3b47dd13ec9a98b44e6204a523e766b225811,6
aave-v3-usdc,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,6
aave-v3-sdai,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,18
aave-v3-snx,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,18
